2015 OSAP Repayment Assistance Participation Rates ,,,,
Private Career Colleges in Ontario,,,,
Institution Name,# of Borrowers 2012-13 (1),# of 12-13 Borrowers who received Repayment Assistance (2),2015 Repayment Assistance Participation Rate (3),
NORTH AMERICAN COLLEGE OF INFO & TECH,93,48,51.6%,
North American Trade School,175,36,20.6%,
NU-WAVE SCHOOL OF HAIR DESIGN,6,0,0.0%,
Ontario College of Health & Technology,34,13,38.2%,
ONTARIO INST OF AUDIO RECORDING TECH,24,9,37.5%,
OTTAWA ACADEMY,31,13,41.9%,
"OXFORD COLLEGE OF ARTS, BUSINESS & TECH",152,75,49.3%,
PEBEC SCHOOL OF ESTHETICS,14,5,35.7%,
"QUEEN'S COLLEGE OF BUSINESS, TECHNOLOGY & PUBLIC SAFETY",57,24,42.1%,
RAC DIGITAL ARTS COLLEGE,52,15,28.8%,
RANDOLPH ACADEMY FOR THE PERFORMING ARTS,23,13,56.5%,
RCC INSTITUTE OF TECHNOLOGY - CONCORD,148,52,35.1%,
"RCC INSTITUTE OF TECHNOLOGY - TORONTO, DAVISVILLE CAMPUS",77,36,46.8%,
"RCC INSTITUTE OF TECHNOLOGY - TORONTO, DUNDAS SQUARE",152,73,48.0%,
ROYAL CONSERVATORY OF MUSIC,11,6,54.5%,
SCHOOL OF MAKEUP ART,14,7,50.0%,
SCHOOL OF TORONTO DANCE THEATRE,*,*,*,
SHIATSU SCHOOL OF CANADA INC,*,*,*,
STRATFORD CHEFS SCHOOL,7,0,0.0%,
SUTHERLAND-CHAN SCHOOL & TEACHING CLINIC,45,17,37.8%,
THAMES VALLEY COLLEGE OF BUSINESS AND IT,12,5,41.7%,
THE CANADIAN ACADEMY OF DENTAL HEALTH,27,8,29.6%,
TORONTO COLLEGE OF DENTAL HYGIENE AND AUXILIARIES REVIEW,13,5,38.5%,
TORONTO INSTITUTE OF PHARMACEUTICAL TECHNOLOGY,73,34,46.6%,
TORONTO MONTESSORI INSTITUTE,11,2,18.2%,
TORONTO SCHOOL OF ART,*,*,*,
TREBAS INSTITUTE,112,51,45.5%,
TRILLIUM COLLEGE - BURLINGTON,116,34,29.3%,
TRILLIUM COLLEGE - KINGSTON,135,51,37.8%,
TRILLIUM COLLEGE - OSHAWA,267,118,44.2%,
TRILLIUM COLLEGE - OTTAWA,20,8,40.0%,
TRILLIUM COLLEGE - PETERBOROUGH,164,78,47.6%,
TRILLIUM COLLEGE - ST. CATHARINES,202,93,46.0%,
"TRILLIUM COLLEGE - TORONTO, CHURCH ST.",24,11,45.8%,
"TRILLIUM COLLEGE - TORONTO, YONGE ST.",12,2,16.7%,
TRIOS COLLEGE - BRAMPTON,195,73,37.4%,
TRIOS COLLEGE - HAMILTON,155,61,39.4%,
TRIOS COLLEGE - KITCHENER,113,45,39.8%,
TRIOS COLLEGE - LONDON,189,81,42.9%,
TRIOS COLLEGE - MISSISSAUGA,245,120,49.0%,
TRIOS COLLEGE - OSHAWA,140,75,53.6%,
TRIOS COLLEGE - SCARBOROUGH,73,34,46.6%,
TRIOS COLLEGE - TORONTO,235,127,54.0%,
TRIOS COLLEGE - WINDSOR,132,66,50.0%,
VERSAILLES ACADEMY OF MAKE-UP ARTS & ESTHETICS,43,24,55.8%,
VOILA INSTITUTE SCHOOL OF HAIR DESIGN  ,13,4,30.8%,
WELDING AT ITS BEST,29,3,10.3%,
WEST END ACADEMY,24,8,33.3%,
WESTERVELT COLLEGE,297,103,34.7%,
WILLIS COLLEGE - OTTAWA,23,7,30.4%,
WILLIS COLLEGE - SMITH FALLS,69,27,39.1%,
Private Career Colleges in Ontario TOTAL,"12,935","5,741",44.4%,
