INSTITUTION NAME,PROGRAM NAME,# of Borrowers 2011-12 (1),# of 11-12 Borrowers who received Repayment Assistance (2),2014 Repayment Assistance Participation Rate (3)
LAURENTIAN UNIVERSITY,Agricultural And Biological Sciences,*,*,*
LAURENTIAN UNIVERSITY,Business and Commerce,61,24,39.3%
LAURENTIAN UNIVERSITY,Computer Science,6,2,33.3%
LAURENTIAN UNIVERSITY,Education (Teacher Training),130,30,23.1%
LAURENTIAN UNIVERSITY,Engineering,23,3,13%
LAURENTIAN UNIVERSITY,"Kinesiology, Recreation And Physical Education",25,4,16%
LAURENTIAN UNIVERSITY,Nursing,55,10,18.2%
LAURENTIAN UNIVERSITY,Other Arts and Science,381,118,31%
LAURENTIAN UNIVERSITY,Social Sciences,61,19,31.1%
MCMASTER UNIVERSITY,Agricultural And Biological Sciences,286,103,36%
MCMASTER UNIVERSITY,Business and Commerce,358,93,26%
MCMASTER UNIVERSITY,Computer Science,45,15,33.3%
MCMASTER UNIVERSITY,Engineering,676,125,18.5%
MCMASTER UNIVERSITY,Fine And Applied Arts,43,17,39.5%
MCMASTER UNIVERSITY,Humanities,153,45,29.4%
MCMASTER UNIVERSITY,"Kinesiology, Recreation And Physical Education",14,0,0%
MCMASTER UNIVERSITY,Mathematics,19,7,36.8%
MCMASTER UNIVERSITY,Medicine,138,1,0.7%
MCMASTER UNIVERSITY,Nursing,109,17,15.6%
MCMASTER UNIVERSITY,Other Arts and Science,659,208,31.6%
MCMASTER UNIVERSITY,Other Health Professions,169,32,18.9%
MCMASTER UNIVERSITY,Physical Sciences,22,1,4.5%
MCMASTER UNIVERSITY,Social Sciences,239,92,38.5%
MCMASTER UNIVERSITY,Theology,11,6,54.5%
MCMASTER UNIVERSITY,Therapy And Rehabilitation,78,17,21.8%
MCMASTER UNIVERSITY,,3019,779,25.8%
MCMASTER UNIVERSITY,,,,
MCMASTER UNIVERSITY,Business and Commerce,95,30,31.6%
MCMASTER UNIVERSITY,Computer Science,5,1,20%
MCMASTER UNIVERSITY,Education (Teacher Training),448,126,28.1%
MCMASTER UNIVERSITY,Fine And Applied Arts,7,4,57.1%
MCMASTER UNIVERSITY,"Kinesiology, Recreation And Physical Education",16,1,6.3%
MCMASTER UNIVERSITY,Nursing,57,10,17.5%
MCMASTER UNIVERSITY,Other Arts and Science,193,62,32.1%
MCMASTER UNIVERSITY,Other Education,8,3,37.5%
MCMASTER UNIVERSITY,Social Sciences,21,6,28.6%
NORTHERN ONTARIO SCHOOL OF MEDICINE,Medicine,41,3,7.3%
ONTARIO COLLEGE OF ART AND DESIGN,Fine And Applied Arts,495,236,47.7%
QUEEN'S UNIVERSITY,Business and Commerce,131,21,16%
QUEEN'S UNIVERSITY,Computer Science,23,4,17.4%
QUEEN'S UNIVERSITY,Education (Teacher Training),356,123,34.6%
QUEEN'S UNIVERSITY,Engineering,208,39,18.8%
QUEEN'S UNIVERSITY,Fine And Applied Arts,20,3,15%
QUEEN'S UNIVERSITY,Humanities,27,8,29.6%
QUEEN'S UNIVERSITY,"Kinesiology, Recreation And Physical Education",22,2,9.1%
QUEEN'S UNIVERSITY,Law,104,14,13.5%
QUEEN'S UNIVERSITY,Medicine,77,1,1.3%
QUEEN'S UNIVERSITY,Nursing,58,6,10.3%
QUEEN'S UNIVERSITY,Other Arts and Science,600,169,28.2%
QUEEN'S UNIVERSITY,Other Health Professions,10,3,30%
