2014 OSAP Repayment Assistance Participation Rates by Program,,,,,
Ontario Colleges of Applied Arts and Technology,,,,,
INSTITUTION NAME,PROGRAM NAME,# of Borrowers 2011-12 (1),# of 11-12 Borrowers who received Repayment Assistance (2),2014 Repayment Assistance Participation Rate (3),
ALGONQUIN COLLEGE,Veterinary Assistant,13,5,38.5%,
ALGONQUIN COLLEGE,Veterinary Technician,23,4,17.4%,
ALGONQUIN COLLEGE,Victimology,*,*,*,
ALGONQUIN COLLEGE,Water And Waste Water Technician,12,3,25.0%,
ALGONQUIN COLLEGE,Welding And Fabrication Techniques,13,1,7.7%,
ALGONQUIN COLLEGE,Wireless/Mobility Telecommunications Engineering Technician,10,5,50.0%,
ALGONQUIN COLLEGE,Wireless/Mobility Telecommunications Engineering Technology,*,*,*,
ALGONQUIN COLLEGE Total,,"2,961",993,33.5%,
,,,,,
Notes:, ,,,,
1) Number of borrowers who received Canada-Ontario Integrated Student Loan in 2011-12 and did not receive loans or grants ,,,,,
through the Ontario Student Assistance Program in 2012-13. ,,,,,
2) Number of borrowers as per note 1) who were approved for one or more six month terms of repayment assistance for their ,,,,,
 Canada-Ontario Integrated Student Loan between March 2012 and July 2014. ,,,,,
3) The percentage of borrowers who received repayment assistance for one or more terms; column 2 divided by column 1.,,,,,
* Number of borrowers is less than 5; data suppressed but included in the totals for the institutions. ,,,,,
,,,,,
,,,,,
 ,,,,,
CAMBRIAN COLLEGE,Advertising,*,*,*,
CAMBRIAN COLLEGE,Animation,11,7,63.6%,
CAMBRIAN COLLEGE,Art And Design Fundamentals,6,4,66.7%,
CAMBRIAN COLLEGE,Baking And Pastry Arts,6,2,33.3%,
CAMBRIAN COLLEGE,Business,6,2,33.3%,
CAMBRIAN COLLEGE,Business Administration,23,11,47.8%,
CAMBRIAN COLLEGE,Business Administration - Accounting,17,7,41.2%,
CAMBRIAN COLLEGE,Business – Accounting,*,*,*,
CAMBRIAN COLLEGE,Carpentry,9,1,11.1%,
CAMBRIAN COLLEGE,Chef Training,10,1,10.0%,
CAMBRIAN COLLEGE,Chemical Engineering Technology,6,3,50.0%,
CAMBRIAN COLLEGE,Child And Youth Worker,20,9,45.0%,
CAMBRIAN COLLEGE,Civil Engineering Technician,11,4,36.4%,
CAMBRIAN COLLEGE,Civil Engineering Technology,*,*,*,
CAMBRIAN COLLEGE,Collaborative Nursing,33,10,30.3%,
CAMBRIAN COLLEGE,Community And Justice Services,*,*,*,
CAMBRIAN COLLEGE,Computer Programmer Analyst,*,*,*,
