2014 OSAP Repayment Assistance Participation Rates ,,,,,,,
Private Career Colleges in Ontario,,,,,,,
Institution Name,# of Borrowers 2011-12 (1),# of 11-12 Borrowers who received Repayment Assistance (2),2014 Repayment Assistance Participation Rate (3),,,,
"RCC INSTITUTE OF TECHNOLOGY - TORONTO, DAVISVILLE CAMPUS",73,28,38.4%,,,,
"RCC INSTITUTE OF TECHNOLOGY - TORONTO, DUNDAS SQUARE",124,53,42.7%,,,,
ROYAL CONSERVATORY OF MUSIC,*,*,*,,,,
SALON AND SPA CAREER COLLEGE,29,19,65.5%,,,,
SCHOOL OF MAKEUP ART,17,3,17.6%,,,,
SCHOOL OF TORONTO DANCE THEATRE,*,*,*,,,,
SHIATSU SCHOOL OF CANADA INC,*,*,*,,,,
STRATFORD CHEFS SCHOOL,15,2,13.3%,,,,
SUTHERLAND-CHAN SCHOOL AND TEACHING CLINIC,38,17,44.7%,,,,
THAMES VALLEY COLLEGE OF BUSINESS AND IT,20,10,50.0%,,,,
THE CANADIAN ACADEMY OF DENTAL HEALTH AND COMMUNITY SCIENCES,8,1,12.5%,,,,
TORONTO COLLEGE OF DENTAL HYGIENE AND AUXILIARIES,*,*,*,,,,
TORONTO INSTITUTE OF PHARMACEUTICAL TECH,101,52,51.5%,,,,
TORONTO MONTESSORI INSTITUTE,5,2,40.0%,,,,
TORONTO SCHOOL OF ART,*,*,*,,,,
TREBAS INSTITUTE,68,23,33.8%,,,,
TRILLIUM COLLEGE - BURLINGTON,95,38,40.0%,,,,
TRILLIUM COLLEGE - KINGSTON,101,38,37.6%,,,,
TRILLIUM COLLEGE - KITCHENER,6,3,50.0%,,,,
TRILLIUM COLLEGE - OSHAWA,223,106,47.5%,,,,
TRILLIUM COLLEGE - OTTAWA,33,18,54.5%,,,,
TRILLIUM COLLEGE - PETERBOROUGH,119,46,38.7%,,,,
TRILLIUM COLLEGE - ST CATHARINES,158,70,44.3%,,,,
"TRILLIUM COLLEGE - TORONTO, CHURCH ST.",29,16,55.2%,,,,
"TRILLIUM COLLEGE - TORONTO, YONGE ST.",29,16,55.2%,,,,
TRIOS COLLEGE - BRAMPTON,191,86,45.0%,,,,
TRIOS COLLEGE - HAMILTON,157,67,42.7%,,,,
TRIOS COLLEGE - KITCHENER,111,48,43.2%,,,,
TRIOS COLLEGE - LONDON,148,69,46.6%,,,,
TRIOS COLLEGE - MISSISSAUGA,265,127,47.9%,,,,
TRIOS COLLEGE - OSHAWA,103,43,41.7%,,,,
TRIOS COLLEGE - SCARBOROUGH,44,25,56.8%,,,,
TRIOS COLLEGE - TORONTO,227,109,48.0%,,,,
TRIOS COLLEGE - WINDSOR,115,46,40.0%,,,,
VERCORE BUSINESS ACADEMY,*,*,*,,,,
VERSAILLES ACADEMY OF MAKE-UP ARTS AND ESTETHICS,22,10,45.5%,,,,
WELDING AT ITS BEST,26,6,23.1%,,,,
WEST END ACADEMY,27,7,25.9%,,,,
WESTERVELT COLLEGE,272,97,35.7%,,,,
WILLIS COLLEGE - OTTAWA,27,11,40.7%,,,,
WILLIS COLLEGE - SMITH FALLS,41,13,31.7%,,,,
Private Career Colleges in Ontario Total,"12,478","5,605",44.9%,,,,
