9.2 Value of full-time loans by jurisdiction since 1964 ($ million),,,,,,
REF_YEAR,GEO ,LoanAmount,,,,
1988-1989,Canada,551,,,,
,Newfoundland and Labrador,31.1,,,,
,Prince Edward Island,5.3,,,,
,Nova Scotia,39.3,,,,
,New Brunswick,32.9,,,,
,Ontario,183,,,,
,Manitoba,39.3,,,,
,Saskatchewan,47,,,,
,Alberta,108.4,,,,
,British Columbia,64,,,,
,Yukon,0.65,,,,
1989-1990,Canada,599.2,,,,
,Newfoundland and Labrador,32.1,,,,
,Prince Edward Island,6.9,,,,
,Nova Scotia,40.9,,,,
,New Brunswick,35.8,,,,
,Ontario,201.5,,,,
,Manitoba,36,,,,
,Saskatchewan,48.9,,,,
,Alberta,112,,,,
,British Columbia,84.6,,,,
,Yukon,0.52,,,,
1990-1991,Canada,665.8,,,,
,Newfoundland and Labrador,36.4,,,,
,Prince Edward Island,6.1,,,,
,Nova Scotia,43.6,,,,
,New Brunswick,39.2,,,,
,Ontario,238.1,,,,
,Manitoba,38.8,,,,
,Saskatchewan,48.6,,,,
,Alberta,114.1,,,,
,British Columbia,100.1,,,,
,Yukon,0.83,,,,
1991-1992,Canada,797.2,,,,
,Newfoundland and Labrador,34.2,,,,
,Prince Edward Island,6.1,,,,
,Nova Scotia,44.9,,,,
,New Brunswick,41.7,,,,
,Ontario,351.2,,,,
,Manitoba,38.8,,,,
,Saskatchewan,52.3,,,,
,Alberta,112.2,,,,
,British Columbia,114.9,,,,
,Yukon,0.93,,,,
1992-1993,Canada,846.6,,,,
,Newfoundland and Labrador,35.9,,,,
,Prince Edward Island,6.4,,,,
,Nova Scotia,42.9,,,,
,New Brunswick,42.4,,,,
,Ontario,395.7,,,,
,Manitoba,35.3,,,,
,Saskatchewan,56.3,,,,
,Alberta,117.9,,,,
,British Columbia,113.1,,,,
,Yukon,0.78,,,,
1993-1994,Canada,986.7,,,,
,Newfoundland and Labrador,38,,,,
,Prince Edward Island,6.1,,,,
,Nova Scotia,42.7,,,,
,New Brunswick,44.1,,,,
,Ontario,511.7,,,,
,Manitoba,35.5,,,,
,Saskatchewan,50.7,,,,
,Alberta,127.1,,,,
,British Columbia,129.5,,,,
,Yukon,1.1,,,,
1994-1995,Canada,1214.6,,,,
,Newfoundland and Labrador,54.1,,,,
,Prince Edward Island,7.5,,,,
,Nova Scotia,51.2,,,,
,New Brunswick,33,,,,
,Ontario,681.9,,,,
,Manitoba,35.5,,,,
,Saskatchewan,56.3,,,,
,Alberta,117.2,,,,
,British Columbia,176.9,,,,
,Yukon,0.9,,,,
1995-1996,Canada,1340,,,,
,Newfoundland and Labrador,74.1,,,,
,Prince Edward Island,8.4,,,,
,Nova Scotia,51.1,,,,
,New Brunswick,29.3,,,,
,Ontario,741.6,,,,
,Manitoba,35.7,,,,
,Saskatchewan,54.9,,,,
,Alberta,140.7,,,,
,British Columbia,202.9,,,,
,Yukon,1.2,,,,
1996-1997,Canada,1583.9,,,,
,Newfoundland and Labrador,91.5,,,,
,Prince Edward Island,13.4,,,,
,Nova Scotia,62.8,,,,
,New Brunswick,82.5,,,,
,Ontario,880.8,,,,
,Manitoba,30.6,,,,
,Saskatchewan,56.1,,,,
,Alberta,147.6,,,,
,British Columbia,217.5,,,,
,Yukon,1.2,,,,
1997-1998,Canada,1567.8,,,,
,Newfoundland and Labrador,86.1,,,,
,Prince Edward Island,11.4,,,,
,Nova Scotia,62.8,,,,
,New Brunswick,79.7,,,,
,Ontario,856,,,,
,Manitoba,37.1,,,,
,Saskatchewan,57.5,,,,
,Alberta,133.3,,,,
,British Columbia,243,,,,
,Yukon,1,,,,
1998-1999,Canada,1557.2,,,,
,Newfoundland and Labrador,88.8,,,,
,Prince Edward Island,11.9,,,,
,Nova Scotia,94.7,,,,
,New Brunswick,67.6,,,,
,Ontario,817.3,,,,
,Manitoba,38.2,,,,
,Saskatchewan,67.3,,,,
,Alberta,146.9,,,,
,British Columbia,223.4,,,,
,Yukon,1.02,,,,
1999-2000,Canada,1549.6,,,,
,Newfoundland and Labrador,70,,,,
,Prince Edward Island,10.1,,,,
,Nova Scotia,90.2,,,,
,New Brunswick,61.9,,,,
,Ontario,780.9,,,,
,Manitoba,44.3,,,,
,Saskatchewan,72.8,,,,
,Alberta,170.5,,,,
,British Columbia,247.7,,,,
