"","Ref_Date","GEO","SCHOOL","TotalRevAmt","TotalExpAmt","TuitionRevAmt","SalaryExpAmt"
"132","2011/2012","Saskatchewan","Total universities and colleges",1165786,1247610,189168,660395
"133","2012/2013","Alberta","Total universities and colleges",4037222,3822712,775154,2321589
"134","2012/2013","British Columbia","Total universities and colleges",4382504,4246561,1123380,2631653
"135","2012/2013","Canada","Total universities and colleges",33582495,32414094,8108641,19220616
"136","2012/2013","Manitoba","Total universities and colleges",1072313,1059689,194859,593536
"137","2012/2013","New Brunswick","Total universities and colleges",630598,565739,158094,348837
"138","2012/2013","Newfoundland and Labrador","Total universities and colleges",708958,724774,64544,406828
"139","2012/2013","Nova Scotia","Total universities and colleges",1218369,1180349,349946,665610
"140","2012/2013","Ontario","Total universities and colleges",13706441,12992587,4254227,7610112
"141","2012/2013","Prince Edward Island","Total universities and colleges",136441,129631,29819,86413
"142","2012/2013","Quebec","Total universities and colleges",6426934,6495572,953433,3863840
"143","2012/2013","Saskatchewan","Total universities and colleges",1262715,1196480,205185,692198
"144","2013/2014","Alberta","Total universities and colleges",4239530,3963510,816580,2402824
"145","2013/2014","British Columbia","Total universities and colleges",4503825,4327636,1199535,2755039
"146","2013/2014","Canada","Total universities and colleges",35071107,33270373,8663862,20061849
"147","2013/2014","Manitoba","Total universities and colleges",1139574,1111433,207011,625357
"148","2013/2014","New Brunswick","Total universities and colleges",624965,570707,155642,353817
"149","2013/2014","Newfoundland and Labrador","Total universities and colleges",675933,680463,64444,420096
"150","2013/2014","Nova Scotia","Total universities and colleges",1231207,1213327,364752,695976
"151","2013/2014","Ontario","Total universities and colleges",14350049,13443002,4600669,8018936
"152","2013/2014","Prince Edward Island","Total universities and colleges",131149,121569,30945,80535
"153","2013/2014","Quebec","Total universities and colleges",6808392,6609337,1004298,3993632
"154","2013/2014","Saskatchewan","Total universities and colleges",1366483,1229389,219986,715637
"155","2014/2015","Alberta","Total universities and colleges",4564075,4107496,831953,2410693
"156","2014/2015","British Columbia","Total universities and colleges",4643314,4526034,1258625,2789318
"157","2014/2015","Canada","Total universities and colleges",35898986,33830546,9158307,20359961
"158","2014/2015","Manitoba","Total universities and colleges",1151231,1121170,215419,623150
"159","2014/2015","New Brunswick","Total universities and colleges",635022,583186,153203,370405
"160","2014/2015","Newfoundland and Labrador","Total universities and colleges",681986,663715,65786,429522
"161","2014/2015","Nova Scotia","Total universities and colleges",1262715,1217315,381488,714512
"162","2014/2015","Ontario","Total universities and colleges",14684068,13506699,4933028,8045818
"163","2014/2015","Prince Edward Island","Total universities and colleges",133241,124346,32615,81785
"164","2014/2015","Quebec","Total universities and colleges",6772479,6698880,1055748,4163768
"165","2014/2015","Saskatchewan","Total universities and colleges",1370855,1281705,230442,730990
"166","2015/2016","Alberta","Total universities and colleges",4112928,4252680,849327,2493019
"167","2015/2016","British Columbia","Total universities and colleges",4565001,4617500,1358126,2826121
"168","2015/2016","Canada","Total universities and colleges",34761775,34629425,9694840,20821255
"169","2015/2016","Manitoba","Total universities and colleges",1216616,1102766,230207,635127
"170","2015/2016","New Brunswick","Total universities and colleges",555554,582480,148556,373370
"171","2015/2016","Newfoundland and Labrador","Total universities and colleges",621889,646773,63892,422900
"172","2015/2016","Nova Scotia","Total universities and colleges",1261751,1253889,395067,733544
"173","2015/2016","Ontario","Total universities and colleges",14236345,13967827,5288233,8303564
"174","2015/2016","Prince Edward Island","Total universities and colleges",138355,140802,34221,84045
"175","2015/2016","Quebec","Total universities and colleges",6791216,6732858,1089767,4194771
"176","2015/2016","Saskatchewan","Total universities and colleges",1262120,1331850,237444,754794
