"","Ref_Date","GEO","SCHOOL","EXPENDITURE","FUNDFUNCTION","expenditureAmount"
"93030","2005/2006","Ontario","Total universities and colleges","Total expenditures","Total funds (x 1,000)",9353877
"93031","2006/2007","Ontario","Total universities and colleges","Total expenditures","Total funds (x 1,000)",9763728
"93032","2007/2008","Ontario","Total universities and colleges","Total expenditures","Total funds (x 1,000)",10632239
"93033","2008/2009","Ontario","Total universities and colleges","Total expenditures","Total funds (x 1,000)",11167608
"93034","2009/2010","Ontario","Total universities and colleges","Total expenditures","Total funds (x 1,000)",11505391
"93035","2010/2011","Ontario","Total universities and colleges","Total expenditures","Total funds (x 1,000)",12157380
"93036","2011/2012","Ontario","Total universities and colleges","Total expenditures","Total funds (x 1,000)",12713669
"93037","2012/2013","Ontario","Total universities and colleges","Total expenditures","Total funds (x 1,000)",12992587
"93038","2013/2014","Ontario","Total universities and colleges","Total expenditures","Total funds (x 1,000)",13443002
"93039","2014/2015","Ontario","Total universities and colleges","Total expenditures","Total funds (x 1,000)",13506699
"93040","2015/2016","Ontario","Total universities and colleges","Total expenditures","Total funds (x 1,000)",13967827
"108529","2000/2001","Manitoba","Total universities and colleges","Total expenditures","Total funds (x 1,000)",541197
"108530","2001/2002","Manitoba","Total universities and colleges","Total expenditures","Total funds (x 1,000)",596347
"108531","2002/2003","Manitoba","Total universities and colleges","Total expenditures","Total funds (x 1,000)",654436
"108532","2003/2004","Manitoba","Total universities and colleges","Total expenditures","Total funds (x 1,000)",694327
"108533","2004/2005","Manitoba","Total universities and colleges","Total expenditures","Total funds (x 1,000)",740053
"108534","2005/2006","Manitoba","Total universities and colleges","Total expenditures","Total funds (x 1,000)",805240
"108535","2006/2007","Manitoba","Total universities and colleges","Total expenditures","Total funds (x 1,000)",790835
"108536","2007/2008","Manitoba","Total universities and colleges","Total expenditures","Total funds (x 1,000)",877463
"108537","2008/2009","Manitoba","Total universities and colleges","Total expenditures","Total funds (x 1,000)",904432
"108538","2009/2010","Manitoba","Total universities and colleges","Total expenditures","Total funds (x 1,000)",945749
"108539","2010/2011","Manitoba","Total universities and colleges","Total expenditures","Total funds (x 1,000)",1042740
"108540","2011/2012","Manitoba","Total universities and colleges","Total expenditures","Total funds (x 1,000)",1036149
"108541","2012/2013","Manitoba","Total universities and colleges","Total expenditures","Total funds (x 1,000)",1059689
"108542","2013/2014","Manitoba","Total universities and colleges","Total expenditures","Total funds (x 1,000)",1111433
"108543","2014/2015","Manitoba","Total universities and colleges","Total expenditures","Total funds (x 1,000)",1121170
"108544","2015/2016","Manitoba","Total universities and colleges","Total expenditures","Total funds (x 1,000)",1102766
"124033","2000/2001","Saskatchewan","Total universities and colleges","Total expenditures","Total funds (x 1,000)",597067
"124034","2001/2002","Saskatchewan","Total universities and colleges","Total expenditures","Total funds (x 1,000)",686584
"124035","2002/2003","Saskatchewan","Total universities and colleges","Total expenditures","Total funds (x 1,000)",779375
"124036","2003/2004","Saskatchewan","Total universities and colleges","Total expenditures","Total funds (x 1,000)",797283
"124037","2004/2005","Saskatchewan","Total universities and colleges","Total expenditures","Total funds (x 1,000)",781972
"124038","2005/2006","Saskatchewan","Total universities and colleges","Total expenditures","Total funds (x 1,000)",797077
"124039","2006/2007","Saskatchewan","Total universities and colleges","Total expenditures","Total funds (x 1,000)",884790
"124040","2007/2008","Saskatchewan","Total universities and colleges","Total expenditures","Total funds (x 1,000)",906518
"124041","2008/2009","Saskatchewan","Total universities and colleges","Total expenditures","Total funds (x 1,000)",1005720
"124042","2009/2010","Saskatchewan","Total universities and colleges","Total expenditures","Total funds (x 1,000)",1089419
"124043","2010/2011","Saskatchewan","Total universities and colleges","Total expenditures","Total funds (x 1,000)",1202776
"124044","2011/2012","Saskatchewan","Total universities and colleges","Total expenditures","Total funds (x 1,000)",1247610
"124045","2012/2013","Saskatchewan","Total universities and colleges","Total expenditures","Total funds (x 1,000)",1196480
"124046","2013/2014","Saskatchewan","Total universities and colleges","Total expenditures","Total funds (x 1,000)",1229389
"124047","2014/2015","Saskatchewan","Total universities and colleges","Total expenditures","Total funds (x 1,000)",1281705
"124048","2015/2016","Saskatchewan","Total universities and colleges","Total expenditures","Total funds (x 1,000)",1331850
"139537","2000/2001","Alberta","Total universities and colleges","Total expenditures","Total funds (x 1,000)",1633997
"139538","2001/2002","Alberta","Total universities and colleges","Total expenditures","Total funds (x 1,000)",1735960
"139539","2002/2003","Alberta","Total universities and colleges","Total expenditures","Total funds (x 1,000)",1869127
"139540","2003/2004","Alberta","Total universities and colleges","Total expenditures","Total funds (x 1,000)",2054289
"139541","2004/2005","Alberta","Total universities and colleges","Total expenditures","Total funds (x 1,000)",2235001
"139542","2005/2006","Alberta","Total universities and colleges","Total expenditures","Total funds (x 1,000)",2428620
"139543","2006/2007","Alberta","Total universities and colleges","Total expenditures","Total funds (x 1,000)",2579983
"139544","2007/2008","Alberta","Total universities and colleges","Total expenditures","Total funds (x 1,000)",2920682
"139545","2008/2009","Alberta","Total universities and colleges","Total expenditures","Total funds (x 1,000)",3302780
"139546","2009/2010","Alberta","Total universities and colleges","Total expenditures","Total funds (x 1,000)",4044068
"139547","2010/2011","Alberta","Total universities and colleges","Total expenditures","Total funds (x 1,000)",4138682
"139548","2011/2012","Alberta","Total universities and colleges","Total expenditures","Total funds (x 1,000)",3887719
"139549","2012/2013","Alberta","Total universities and colleges","Total expenditures","Total funds (x 1,000)",3822712
"139550","2013/2014","Alberta","Total universities and colleges","Total expenditures","Total funds (x 1,000)",3963510
"139551","2014/2015","Alberta","Total universities and colleges","Total expenditures","Total funds (x 1,000)",4107496
"139552","2015/2016","Alberta","Total universities and colleges","Total expenditures","Total funds (x 1,000)",4252680
"155041","2000/2001","British Columbia","Total universities and colleges","Total expenditures","Total funds (x 1,000)",1942250
"155042","2001/2002","British Columbia","Total universities and colleges","Total expenditures","Total funds (x 1,000)",2178044
"155043","2002/2003","British Columbia","Total universities and colleges","Total expenditures","Total funds (x 1,000)",2474152
"155044","2003/2004","British Columbia","Total universities and colleges","Total expenditures","Total funds (x 1,000)",2858803
"155045","2004/2005","British Columbia","Total universities and colleges","Total expenditures","Total funds (x 1,000)",3086508
"155046","2005/2006","British Columbia","Total universities and colleges","Total expenditures","Total funds (x 1,000)",3434940
"155047","2006/2007","British Columbia","Total universities and colleges","Total expenditures","Total funds (x 1,000)",3492130
"155048","2007/2008","British Columbia","Total universities and colleges","Total expenditures","Total funds (x 1,000)",3584010
"155049","2008/2009","British Columbia","Total universities and colleges","Total expenditures","Total funds (x 1,000)",3780263
"155050","2009/2010","British Columbia","Total universities and colleges","Total expenditures","Total funds (x 1,000)",3954758
"155051","2010/2011","British Columbia","Total universities and colleges","Total expenditures","Total funds (x 1,000)",4302064
"155052","2011/2012","British Columbia","Total universities and colleges","Total expenditures","Total funds (x 1,000)",4174286
"155053","2012/2013","British Columbia","Total universities and colleges","Total expenditures","Total funds (x 1,000)",4246561
"155054","2013/2014","British Columbia","Total universities and colleges","Total expenditures","Total funds (x 1,000)",4327636
"155055","2014/2015","British Columbia","Total universities and colleges","Total expenditures","Total funds (x 1,000)",4526034
"155056","2015/2016","British Columbia","Total universities and colleges","Total expenditures","Total funds (x 1,000)",4617500
