"","Ref_Date","GEO","STUDYLEVEL","averageTuitionFee"
"215","2015/2016","Saskatchewan","Canadian undergraduate",7385
"216","2015/2016","Saskatchewan","Canadian graduate",4077
"217","2015/2016","Alberta","Canadian undergraduate",6881
"218","2015/2016","Alberta","Canadian graduate",6860
"219","2015/2016","British Columbia","Canadian undergraduate",6041
"220","2015/2016","British Columbia","Canadian graduate",8924
"221","2016/2017","Canada","Canadian undergraduate",7223
"222","2016/2017","Canada","Canadian graduate",7588
"223","2016/2017","Newfoundland and Labrador","Canadian undergraduate",2982
"224","2016/2017","Newfoundland and Labrador","Canadian graduate",3037
"225","2016/2017","Prince Edward Island","Canadian undergraduate",6955
"226","2016/2017","Prince Edward Island","Canadian graduate",5767
"227","2016/2017","Nova Scotia","Canadian undergraduate",8127
"228","2016/2017","Nova Scotia","Canadian graduate",9357
"229","2016/2017","New Brunswick","Canadian undergraduate",7260
"230","2016/2017","New Brunswick","Canadian graduate",6468
"231","2016/2017","Quebec","Canadian undergraduate",3637
"232","2016/2017","Quebec","Canadian graduate",3641
"233","2016/2017","Ontario","Canadian undergraduate",9062
"234","2016/2017","Ontario","Canadian graduate",10598
"235","2016/2017","Manitoba","Canadian undergraduate",4809
"236","2016/2017","Manitoba","Canadian graduate",5264
"237","2016/2017","Saskatchewan","Canadian undergraduate",7461
"238","2016/2017","Saskatchewan","Canadian graduate",4159
"239","2016/2017","Alberta","Canadian undergraduate",6817
"240","2016/2017","Alberta","Canadian graduate",6734
"241","2016/2017","British Columbia","Canadian undergraduate",6228
"242","2016/2017","British Columbia","Canadian graduate",8936
"243","2017/2018","Canada","Canadian undergraduate",7451
"244","2017/2018","Canada","Canadian graduate",7745
"245","2017/2018","Newfoundland and Labrador","Canadian undergraduate",3652
"246","2017/2018","Newfoundland and Labrador","Canadian graduate",3693
"247","2017/2018","Prince Edward Island","Canadian undergraduate",7145
"248","2017/2018","Prince Edward Island","Canadian graduate",5907
"249","2017/2018","Nova Scotia","Canadian undergraduate",8554
"250","2017/2018","Nova Scotia","Canadian graduate",9622
"251","2017/2018","New Brunswick","Canadian undergraduate",7460
"252","2017/2018","New Brunswick","Canadian graduate",6594
