"","Ref_Date","GEO","SCHOOL","REVENUE","FUND","revenueAmount"
"68178","2001/2002","Ontario","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",1668094
"68179","2002/2003","Ontario","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",1893230
"68180","2003/2004","Ontario","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",2170429
"68181","2004/2005","Ontario","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",2321516
"68182","2005/2006","Ontario","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",2448874
"68183","2006/2007","Ontario","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",2631053
"68184","2007/2008","Ontario","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",2790416
"68185","2008/2009","Ontario","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",2996288
"68186","2009/2010","Ontario","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",3276280
"68187","2010/2011","Ontario","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",3563011
"68188","2011/2012","Ontario","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",3903626
"68189","2012/2013","Ontario","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",4254227
"68190","2013/2014","Ontario","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",4600669
"68191","2014/2015","Ontario","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",4933028
"68192","2015/2016","Ontario","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",5288233
"79313","2000/2001","Manitoba","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",99932
"79314","2001/2002","Manitoba","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",108161
"79315","2002/2003","Manitoba","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",118055
"79316","2003/2004","Manitoba","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",126426
"79317","2004/2005","Manitoba","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",135359
"79318","2005/2006","Manitoba","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",145560
"79319","2006/2007","Manitoba","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",153180
"79320","2007/2008","Manitoba","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",150936
"79321","2008/2009","Manitoba","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",150944
"79322","2009/2010","Manitoba","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",162063
"79323","2010/2011","Manitoba","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",176165
"79324","2011/2012","Manitoba","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",181689
"79325","2012/2013","Manitoba","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",194859
"79326","2013/2014","Manitoba","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",207011
"79327","2014/2015","Manitoba","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",215419
"79328","2015/2016","Manitoba","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",230207
"90449","2000/2001","Saskatchewan","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",99782
"90450","2001/2002","Saskatchewan","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",114654
"90451","2002/2003","Saskatchewan","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",124344
"90452","2003/2004","Saskatchewan","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",135849
"90453","2004/2005","Saskatchewan","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",141266
"90454","2005/2006","Saskatchewan","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",142168
"90455","2006/2007","Saskatchewan","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",143930
"90456","2007/2008","Saskatchewan","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",142346
"90457","2008/2009","Saskatchewan","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",143135
"90458","2009/2010","Saskatchewan","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",161948
"90459","2010/2011","Saskatchewan","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",173600
"90460","2011/2012","Saskatchewan","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",189168
"90461","2012/2013","Saskatchewan","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",205185
"90462","2013/2014","Saskatchewan","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",219986
