"","institutionName","programName","numOfBorrowers","receivedAssistance","AssistanceParticipationRate"
"148","UNIVERSITY OF OTTAWA/UNIVERSITE D'OTTAWA","Business and Commerce",250,79,31.6
"149","UNIVERSITY OF OTTAWA/UNIVERSITE D'OTTAWA","Computer Science",26,7,26.9
"150","UNIVERSITY OF OTTAWA/UNIVERSITE D'OTTAWA","Education (Teacher Training)",379,148,39.1
"151","UNIVERSITY OF OTTAWA/UNIVERSITE D'OTTAWA","Engineering",209,64,30.6
"152","UNIVERSITY OF OTTAWA/UNIVERSITE D'OTTAWA","Fine And Applied Arts",54,21,38.9
"153","UNIVERSITY OF OTTAWA/UNIVERSITE D'OTTAWA","Food Science And Nutrition",14,1,7.1
"154","UNIVERSITY OF OTTAWA/UNIVERSITE D'OTTAWA","Kinesiology, Recreation And Physical Education",62,12,19.4
"155","UNIVERSITY OF OTTAWA/UNIVERSITE D'OTTAWA","Law",223,70,31.4
"156","UNIVERSITY OF OTTAWA/UNIVERSITE D'OTTAWA","Medicine",114,4,3.5
"157","UNIVERSITY OF OTTAWA/UNIVERSITE D'OTTAWA","Not Applicable/ No Code",19,4,21.1
"158","UNIVERSITY OF OTTAWA/UNIVERSITE D'OTTAWA","Nursing",213,45,21.1
"159","UNIVERSITY OF OTTAWA/UNIVERSITE D'OTTAWA","Other Arts and Science",770,263,34.2
"160","UNIVERSITY OF OTTAWA/UNIVERSITE D'OTTAWA","Other Health Professions",115,36,31.3
"161","UNIVERSITY OF OTTAWA/UNIVERSITE D'OTTAWA","Physical Sciences",12,5,41.7
"162","UNIVERSITY OF OTTAWA/UNIVERSITE D'OTTAWA","Social Sciences",708,290,41
"163","UNIVERSITY OF OTTAWA/UNIVERSITE D'OTTAWA","Theology",57,26,50
"164","UNIVERSITY OF OTTAWA/UNIVERSITE D'OTTAWA","Therapy And Rehabilitation",19,2,10.5
"165","UNIVERSITY OF TORONTO","Architecture And Landscape Architecture",58,13,22.4
"166","UNIVERSITY OF TORONTO","Business and Commerce",720,179,24.9
"167","UNIVERSITY OF TORONTO","Computer Science",166,17,10.2
"168","UNIVERSITY OF TORONTO","Dentistry",83,2,2.4
"169","UNIVERSITY OF TORONTO","Education (Teacher Training)",462,126,27.3
"170","UNIVERSITY OF TORONTO","Engineering",203,37,18.2
"171","UNIVERSITY OF TORONTO","Fine And Applied Arts",81,30,37
"172","UNIVERSITY OF TORONTO","Forestry",11,2,18.2
"173","UNIVERSITY OF TORONTO","Humanities",188,75,39.9
"174","UNIVERSITY OF TORONTO","Kinesiology, Recreation And Physical Education",66,17,25.8
"175","UNIVERSITY OF TORONTO","Law",121,16,13.2
"176","UNIVERSITY OF TORONTO","Medicine",174,7,4
"177","UNIVERSITY OF TORONTO","Nursing",112,18,16.1
"178","UNIVERSITY OF TORONTO","Other Arts and Science",4971,1693,34.1
"179","UNIVERSITY OF TORONTO","Other Education",152,51,33.6
"180","UNIVERSITY OF TORONTO","Other Health Professions",101,22,21.8
"181","UNIVERSITY OF TORONTO","Pharmacy",158,15,9.5
"182","UNIVERSITY OF TORONTO","Social Sciences",238,63,26.5
"183","UNIVERSITY OF TORONTO","Theology",37,9,24.3
"184","UNIVERSITY OF TORONTO","Therapy And Rehabilitation",105,22,21
"185","UNIVERSITY OF WATERLOO","Architecture And Landscape Architecture",30,13,43.3
"186","UNIVERSITY OF WATERLOO","Business and Commerce",265,30,11.3
"187","UNIVERSITY OF WATERLOO","Computer Science",158,16,10.1
"188","UNIVERSITY OF WATERLOO","Engineering",612,73,11.9
"189","UNIVERSITY OF WATERLOO","Mathematics",127,16,12.6
"190","UNIVERSITY OF WATERLOO","Optometry",35,6,17.1
"191","UNIVERSITY OF WATERLOO","Other Arts and Science",1530,480,31.4
"192","UNIVERSITY OF WATERLOO","Pharmacy",92,4,4.3
"193","UNIVERSITY OF WATERLOO","Social Sciences",61,19,31.1
"195","UNIVERSITY OF WESTERN ONTARIO","Business and Commerce",205,37,18
"196","UNIVERSITY OF WESTERN ONTARIO","Dentistry",64,3,4.7
"197","UNIVERSITY OF WESTERN ONTARIO","Education (Teacher Training)",321,96,29.9
"198","UNIVERSITY OF WESTERN ONTARIO","Engineering",213,33,15.5
"199","UNIVERSITY OF WESTERN ONTARIO","Fine And Applied Arts",47,18,38.3
"200","UNIVERSITY OF WESTERN ONTARIO","Food Science And Nutrition",50,25,50
"201","UNIVERSITY OF WESTERN ONTARIO","Humanities",140,44,31.4
"202","UNIVERSITY OF WESTERN ONTARIO","Journalism",14,4,28.6
