"","Ref_Date","GEO","SCHOOL","REVENUE","FUND","revenueAmount"
"33288","2007/2008","Nova Scotia","Total universities and colleges","Total revenues","Total funds (x 1,000)",951619
"33289","2008/2009","Nova Scotia","Total universities and colleges","Total revenues","Total funds (x 1,000)",916492
"33290","2009/2010","Nova Scotia","Total universities and colleges","Total revenues","Total funds (x 1,000)",1209991
"33291","2010/2011","Nova Scotia","Total universities and colleges","Total revenues","Total funds (x 1,000)",1205318
"33292","2011/2012","Nova Scotia","Total universities and colleges","Total revenues","Total funds (x 1,000)",1174027
"33293","2012/2013","Nova Scotia","Total universities and colleges","Total revenues","Total funds (x 1,000)",1218369
"33294","2013/2014","Nova Scotia","Total universities and colleges","Total revenues","Total funds (x 1,000)",1231207
"33295","2014/2015","Nova Scotia","Total universities and colleges","Total revenues","Total funds (x 1,000)",1262715
"33296","2015/2016","Nova Scotia","Total universities and colleges","Total revenues","Total funds (x 1,000)",1261751
"34897","2000/2001","Nova Scotia","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",173980
"34898","2001/2002","Nova Scotia","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",192162
"34899","2002/2003","Nova Scotia","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",220774
"34900","2003/2004","Nova Scotia","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",254973
"34901","2004/2005","Nova Scotia","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",275682
"34902","2005/2006","Nova Scotia","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",285719
"34903","2006/2007","Nova Scotia","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",291925
"34904","2007/2008","Nova Scotia","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",280575
"34905","2008/2009","Nova Scotia","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",283329
"34906","2009/2010","Nova Scotia","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",290730
"34907","2010/2011","Nova Scotia","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",305597
"34908","2011/2012","Nova Scotia","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",328864
"34909","2012/2013","Nova Scotia","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",349946
"34910","2013/2014","Nova Scotia","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",364752
"34911","2014/2015","Nova Scotia","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",381488
"34912","2015/2016","Nova Scotia","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",395067
"44289","2000/2001","New Brunswick","Total universities and colleges","Total revenues","Total funds (x 1,000)",356899
"44290","2001/2002","New Brunswick","Total universities and colleges","Total revenues","Total funds (x 1,000)",354575
"44291","2002/2003","New Brunswick","Total universities and colleges","Total revenues","Total funds (x 1,000)",396521
"44292","2003/2004","New Brunswick","Total universities and colleges","Total revenues","Total funds (x 1,000)",408997
"44293","2004/2005","New Brunswick","Total universities and colleges","Total revenues","Total funds (x 1,000)",456949
"44294","2005/2006","New Brunswick","Total universities and colleges","Total revenues","Total funds (x 1,000)",483746
"44295","2006/2007","New Brunswick","Total universities and colleges","Total revenues","Total funds (x 1,000)",547817
"44296","2007/2008","New Brunswick","Total universities and colleges","Total revenues","Total funds (x 1,000)",506285
"44297","2008/2009","New Brunswick","Total universities and colleges","Total revenues","Total funds (x 1,000)",475131
"44298","2009/2010","New Brunswick","Total universities and colleges","Total revenues","Total funds (x 1,000)",648349
"44299","2010/2011","New Brunswick","Total universities and colleges","Total revenues","Total funds (x 1,000)",690309
"44300","2011/2012","New Brunswick","Total universities and colleges","Total revenues","Total funds (x 1,000)",608007
"44301","2012/2013","New Brunswick","Total universities and colleges","Total revenues","Total funds (x 1,000)",630598
"44302","2013/2014","New Brunswick","Total universities and colleges","Total revenues","Total funds (x 1,000)",624965
"44303","2014/2015","New Brunswick","Total universities and colleges","Total revenues","Total funds (x 1,000)",635022
"44304","2015/2016","New Brunswick","Total universities and colleges","Total revenues","Total funds (x 1,000)",555554
"45905","2000/2001","New Brunswick","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",79153
"45906","2001/2002","New Brunswick","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",89906
"45907","2002/2003","New Brunswick","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",106549
"45908","2003/2004","New Brunswick","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",117035
"45909","2004/2005","New Brunswick","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",122164
"45910","2005/2006","New Brunswick","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",129997
"45911","2006/2007","New Brunswick","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",132059
"45912","2007/2008","New Brunswick","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",134073
"45913","2008/2009","New Brunswick","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",137484
"45914","2009/2010","New Brunswick","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",139583
"45915","2010/2011","New Brunswick","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",146213
"45916","2011/2012","New Brunswick","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",151112
"45917","2012/2013","New Brunswick","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",158094
"45918","2013/2014","New Brunswick","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",155642
"45919","2014/2015","New Brunswick","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",153203
"45920","2015/2016","New Brunswick","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",148556
"55425","2000/2001","Quebec","Total universities and colleges","Total revenues","Total funds (x 1,000)",3613399
"55426","2001/2002","Quebec","Total universities and colleges","Total revenues","Total funds (x 1,000)",3959953
"55427","2002/2003","Quebec","Total universities and colleges","Total revenues","Total funds (x 1,000)",4429924
"55428","2003/2004","Quebec","Total universities and colleges","Total revenues","Total funds (x 1,000)",4923527
"55429","2004/2005","Quebec","Total universities and colleges","Total revenues","Total funds (x 1,000)",4857995
"55430","2005/2006","Quebec","Total universities and colleges","Total revenues","Total funds (x 1,000)",5044274
"55431","2006/2007","Quebec","Total universities and colleges","Total revenues","Total funds (x 1,000)",5375628
"55432","2007/2008","Quebec","Total universities and colleges","Total revenues","Total funds (x 1,000)",5501235
"55433","2008/2009","Quebec","Total universities and colleges","Total revenues","Total funds (x 1,000)",5760175
"55434","2009/2010","Quebec","Total universities and colleges","Total revenues","Total funds (x 1,000)",6183726
"55435","2010/2011","Quebec","Total universities and colleges","Total revenues","Total funds (x 1,000)",6042251
"55436","2011/2012","Quebec","Total universities and colleges","Total revenues","Total funds (x 1,000)",6453142
"55437","2012/2013","Quebec","Total universities and colleges","Total revenues","Total funds (x 1,000)",6426934
"55438","2013/2014","Quebec","Total universities and colleges","Total revenues","Total funds (x 1,000)",6808392
"55439","2014/2015","Quebec","Total universities and colleges","Total revenues","Total funds (x 1,000)",6772479
"55440","2015/2016","Quebec","Total universities and colleges","Total revenues","Total funds (x 1,000)",6791216
"57041","2000/2001","Quebec","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",407458
"57042","2001/2002","Quebec","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",429864
"57043","2002/2003","Quebec","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",454438
"57044","2003/2004","Quebec","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",514601
"57045","2004/2005","Quebec","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",539421
"57046","2005/2006","Quebec","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",557995
"57047","2006/2007","Quebec","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",594001
"57048","2007/2008","Quebec","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",646640
"57049","2008/2009","Quebec","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",701348
"57050","2009/2010","Quebec","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",762214
"57051","2010/2011","Quebec","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",825943
"57052","2011/2012","Quebec","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",887123
"57053","2012/2013","Quebec","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",953433
"57054","2013/2014","Quebec","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",1004298
"57055","2014/2015","Quebec","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",1055748
"57056","2015/2016","Quebec","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",1089767
"66561","2000/2001","Ontario","Total universities and colleges","Total revenues","Total funds (x 1,000)",6192454
"66562","2001/2002","Ontario","Total universities and colleges","Total revenues","Total funds (x 1,000)",6523569
"66563","2002/2003","Ontario","Total universities and colleges","Total revenues","Total funds (x 1,000)",6842737
"66564","2003/2004","Ontario","Total universities and colleges","Total revenues","Total funds (x 1,000)",8458755
"66565","2004/2005","Ontario","Total universities and colleges","Total revenues","Total funds (x 1,000)",9161733
"66566","2005/2006","Ontario","Total universities and colleges","Total revenues","Total funds (x 1,000)",9998731
"66567","2006/2007","Ontario","Total universities and colleges","Total revenues","Total funds (x 1,000)",10816196
"66568","2007/2008","Ontario","Total universities and colleges","Total revenues","Total funds (x 1,000)",10963790
"66569","2008/2009","Ontario","Total universities and colleges","Total revenues","Total funds (x 1,000)",10020526
"66570","2009/2010","Ontario","Total universities and colleges","Total revenues","Total funds (x 1,000)",12426306
"66571","2010/2011","Ontario","Total universities and colleges","Total revenues","Total funds (x 1,000)",12851937
"66572","2011/2012","Ontario","Total universities and colleges","Total revenues","Total funds (x 1,000)",12614620
"66573","2012/2013","Ontario","Total universities and colleges","Total revenues","Total funds (x 1,000)",13706441
"66574","2013/2014","Ontario","Total universities and colleges","Total revenues","Total funds (x 1,000)",14350049
"66575","2014/2015","Ontario","Total universities and colleges","Total revenues","Total funds (x 1,000)",14684068
"66576","2015/2016","Ontario","Total universities and colleges","Total revenues","Total funds (x 1,000)",14236345
"68177","2000/2001","Ontario","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",1509442
"68178","2001/2002","Ontario","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",1668094
"68179","2002/2003","Ontario","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",1893230
"68180","2003/2004","Ontario","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",2170429
"68181","2004/2005","Ontario","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",2321516
"68182","2005/2006","Ontario","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",2448874
"68183","2006/2007","Ontario","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",2631053
"68184","2007/2008","Ontario","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",2790416
"68185","2008/2009","Ontario","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",2996288
"68186","2009/2010","Ontario","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",3276280
"68187","2010/2011","Ontario","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",3563011
"68188","2011/2012","Ontario","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",3903626
"68189","2012/2013","Ontario","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",4254227
"68190","2013/2014","Ontario","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",4600669
"68191","2014/2015","Ontario","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",4933028
"68192","2015/2016","Ontario","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",5288233
"77697","2000/2001","Manitoba","Total universities and colleges","Total revenues","Total funds (x 1,000)",629163
"77698","2001/2002","Manitoba","Total universities and colleges","Total revenues","Total funds (x 1,000)",606933
"77699","2002/2003","Manitoba","Total universities and colleges","Total revenues","Total funds (x 1,000)",670887
"77700","2003/2004","Manitoba","Total universities and colleges","Total revenues","Total funds (x 1,000)",694624
"77701","2004/2005","Manitoba","Total universities and colleges","Total revenues","Total funds (x 1,000)",753134
"77702","2005/2006","Manitoba","Total universities and colleges","Total revenues","Total funds (x 1,000)",788855
"77703","2006/2007","Manitoba","Total universities and colleges","Total revenues","Total funds (x 1,000)",822195
"77704","2007/2008","Manitoba","Total universities and colleges","Total revenues","Total funds (x 1,000)",852852
