Ref_Date,GEO,STUDY,Vector,Coordinate,Value
2015/2016,Canada,Canadian undergraduate,v107791652,1.1,7049
2015/2016,Canada,Canadian graduate,v107791653,1.2,7338
2015/2016,Newfoundland and Labrador,Canadian undergraduate,v107791654,2.1,2988
2015/2016,Newfoundland and Labrador,Canadian graduate,v107791655,2.2,2759
2015/2016,Prince Edward Island,Canadian undergraduate,v107791656,3.1,6756
2015/2016,Prince Edward Island,Canadian graduate,v107791657,3.2,5513
2015/2016,Nova Scotia,Canadian undergraduate,v107791658,4.1,7618
2015/2016,Nova Scotia,Canadian graduate,v107791659,4.2,9165
2015/2016,New Brunswick,Canadian undergraduate,v107791660,5.1,6910
2015/2016,New Brunswick,Canadian graduate,v107791661,5.2,6248
2015/2016,Quebec,Canadian undergraduate,v107791662,6.1,3620
2015/2016,Quebec,Canadian graduate,v107791663,6.2,3596
2015/2016,Ontario,Canadian undergraduate,v107791664,7.1,8768
2015/2016,Ontario,Canadian graduate,v107791665,7.2,10017
2015/2016,Manitoba,Canadian undergraduate,v107791666,8.1,4686
2015/2016,Manitoba,Canadian graduate,v107791667,8.2,5199
2015/2016,Saskatchewan,Canadian undergraduate,v107791668,9.1,7385
2015/2016,Saskatchewan,Canadian graduate,v107791669,9.2,4077
2015/2016,Alberta,Canadian undergraduate,v107791670,10.1,6881
2015/2016,Alberta,Canadian graduate,v107791671,10.2,6860
2015/2016,British Columbia,Canadian undergraduate,v107791672,11.1,6041
2015/2016,British Columbia,Canadian graduate,v107791673,11.2,8924
2016/2017,Canada,Canadian undergraduate,v107791652,1.1,7223
2016/2017,Canada,Canadian graduate,v107791653,1.2,7588
2016/2017,Newfoundland and Labrador,Canadian undergraduate,v107791654,2.1,2982
2016/2017,Newfoundland and Labrador,Canadian graduate,v107791655,2.2,3037
2016/2017,Prince Edward Island,Canadian undergraduate,v107791656,3.1,6955
2016/2017,Prince Edward Island,Canadian graduate,v107791657,3.2,5767
2016/2017,Nova Scotia,Canadian undergraduate,v107791658,4.1,8127
2016/2017,Nova Scotia,Canadian graduate,v107791659,4.2,9357
2016/2017,New Brunswick,Canadian undergraduate,v107791660,5.1,7260
2016/2017,New Brunswick,Canadian graduate,v107791661,5.2,6468
2016/2017,Quebec,Canadian undergraduate,v107791662,6.1,3637
2016/2017,Quebec,Canadian graduate,v107791663,6.2,3641
2016/2017,Ontario,Canadian undergraduate,v107791664,7.1,9062
2016/2017,Ontario,Canadian graduate,v107791665,7.2,10598
2016/2017,Manitoba,Canadian undergraduate,v107791666,8.1,4809
2016/2017,Manitoba,Canadian graduate,v107791667,8.2,5264
2016/2017,Saskatchewan,Canadian undergraduate,v107791668,9.1,7461
2016/2017,Saskatchewan,Canadian graduate,v107791669,9.2,4159
2016/2017,Alberta,Canadian undergraduate,v107791670,10.1,6817
2016/2017,Alberta,Canadian graduate,v107791671,10.2,6734
2016/2017,British Columbia,Canadian undergraduate,v107791672,11.1,6228
2016/2017,British Columbia,Canadian graduate,v107791673,11.2,8936
2017/2018,Canada,Canadian undergraduate,v107791652,1.1,7451
2017/2018,Canada,Canadian graduate,v107791653,1.2,7745
2017/2018,Newfoundland and Labrador,Canadian undergraduate,v107791654,2.1,3652
2017/2018,Newfoundland and Labrador,Canadian graduate,v107791655,2.2,3693
2017/2018,Prince Edward Island,Canadian undergraduate,v107791656,3.1,7145
2017/2018,Prince Edward Island,Canadian graduate,v107791657,3.2,5907
2017/2018,Nova Scotia,Canadian undergraduate,v107791658,4.1,8554
2017/2018,Nova Scotia,Canadian graduate,v107791659,4.2,9622
2017/2018,New Brunswick,Canadian undergraduate,v107791660,5.1,7460
2017/2018,New Brunswick,Canadian graduate,v107791661,5.2,6594
2017/2018,Quebec,Canadian undergraduate,v107791662,6.1,3736
2017/2018,Quebec,Canadian graduate,v107791663,6.2,3745
2017/2018,Ontario,Canadian undergraduate,v107791664,7.1,9389
2017/2018,Ontario,Canadian graduate,v107791665,7.2,10831
2017/2018,Manitoba,Canadian undergraduate,v107791666,8.1,4885
2017/2018,Manitoba,Canadian graduate,v107791667,8.2,5332
2017/2018,Saskatchewan,Canadian undergraduate,v107791668,9.1,7618
2017/2018,Saskatchewan,Canadian graduate,v107791669,9.2,4258
2017/2018,Alberta,Canadian undergraduate,v107791670,10.1,6840
2017/2018,Alberta,Canadian graduate,v107791671,10.2,6750
2017/2018,British Columbia,Canadian undergraduate,v107791672,11.1,6363
2017/2018,British Columbia,Canadian graduate,v107791673,11.2,9014
