"","Ref_Date","GEO","SCHOOL","EXPENDITURE","FUNDFUNCTION","expenditureAmount"
"46514","2001/2002","Nova Scotia","Total universities and colleges","Total expenditures","Total funds (x 1,000)",709810
"46515","2002/2003","Nova Scotia","Total universities and colleges","Total expenditures","Total funds (x 1,000)",793473
"46516","2003/2004","Nova Scotia","Total universities and colleges","Total expenditures","Total funds (x 1,000)",819828
"46517","2004/2005","Nova Scotia","Total universities and colleges","Total expenditures","Total funds (x 1,000)",870013
"46518","2005/2006","Nova Scotia","Total universities and colleges","Total expenditures","Total funds (x 1,000)",898611
"46519","2006/2007","Nova Scotia","Total universities and colleges","Total expenditures","Total funds (x 1,000)",938458
"46520","2007/2008","Nova Scotia","Total universities and colleges","Total expenditures","Total funds (x 1,000)",973411
"46521","2008/2009","Nova Scotia","Total universities and colleges","Total expenditures","Total funds (x 1,000)",1036642
"46522","2009/2010","Nova Scotia","Total universities and colleges","Total expenditures","Total funds (x 1,000)",1118754
"46523","2010/2011","Nova Scotia","Total universities and colleges","Total expenditures","Total funds (x 1,000)",1204227
"46524","2011/2012","Nova Scotia","Total universities and colleges","Total expenditures","Total funds (x 1,000)",1135577
"46525","2012/2013","Nova Scotia","Total universities and colleges","Total expenditures","Total funds (x 1,000)",1180349
"46526","2013/2014","Nova Scotia","Total universities and colleges","Total expenditures","Total funds (x 1,000)",1213327
"46527","2014/2015","Nova Scotia","Total universities and colleges","Total expenditures","Total funds (x 1,000)",1217315
"46528","2015/2016","Nova Scotia","Total universities and colleges","Total expenditures","Total funds (x 1,000)",1253889
"46769","2000/2001","Nova Scotia","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",373729
"46770","2001/2002","Nova Scotia","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",393504
"46771","2002/2003","Nova Scotia","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",425078
"46772","2003/2004","Nova Scotia","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",458634
"46773","2004/2005","Nova Scotia","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",487350
"46774","2005/2006","Nova Scotia","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",516102
"46775","2006/2007","Nova Scotia","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",536279
"46776","2007/2008","Nova Scotia","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",551415
"46777","2008/2009","Nova Scotia","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",577322
"46778","2009/2010","Nova Scotia","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",605314
"46779","2010/2011","Nova Scotia","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",636122
"46780","2011/2012","Nova Scotia","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",652426
